Message size,#sockets,#threads,Total latency,Total throughput,Total packet rate
256 Bytes,5,1,0.0500272 milliseconds,169.319 Mbps,661403 packets/second
512 Bytes,5,1,0.0507364 milliseconds,318.591 Mbps,622247 packets/second
1 KB,5,1,0.0653422 milliseconds,445.232 Mbps,434797 packets/second
2 KB,5,1,0.0157781 milliseconds,1.97438 Gbps,964051 packets/second
4 KB,5,1,0.00914283 milliseconds,2.14406 Gbps,523452 packets/second
8 KB,5,1,0.234647 milliseconds,1.96577 Gbps,239962 packets/second
16 KB,5,1,0.0528769 milliseconds,1.93172 Gbps,117903 packets/second
32 KB,5,1,0.0234655 milliseconds,2.19042 Gbps,66846.5 packets/second
64 KB,5,1,0.0262233 milliseconds,1.94108 Gbps,29618.5 packets/second
128 KB,5,1,0.874565 milliseconds,1.91211 Gbps,14588.2 packets/second
256 KB,5,1,1.42513 milliseconds,1.90886 Gbps,7281.74 packets/second
512 KB,5,1,2.32573 milliseconds,1.88759 Gbps,3600.29 packets/second
1 MB,5,1,4.95203 milliseconds,1.88581 Gbps,1798.45 packets/second
